Run#:, 137, Scores:,    black:, 22, white:, 35,   Spread:, -13, Win Score:, -1
Run#:, 138, Scores:,    black:, 30, white:, 33,   Spread:, -3, Win Score:, -1
Run#:, 139, Scores:,    black:, 40, white:, 24,   Spread:, 16, Win Score:, 1
Run#:, 140, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 141, Scores:,    black:, 37, white:, 27,   Spread:, 10, Win Score:, 1
Run#:, 142, Scores:,    black:, 32, white:, 31,   Spread:, 1, Win Score:, 1
Run#:, 143, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 144, Scores:,    black:, 26, white:, 37,   Spread:, -11, Win Score:, -1
Run#:, 145, Scores:,    black:, 49, white:, 14,   Spread:, 35, Win Score:, 1
Run#:, 146, Scores:,    black:, 22, white:, 41,   Spread:, -19, Win Score:, -1
Run#:, 147, Scores:,    black:, 22, white:, 42,   Spread:, -20, Win Score:, -1
Run#:, 148, Scores:,    black:, 27, white:, 37,   Spread:, -10, Win Score:, -1
Run#:, 149, Scores:,    black:, 36, white:, 28,   Spread:, 8, Win Score:, 1
Run#:, 150, Scores:,    black:, 18, white:, 45,   Spread:, -27, Win Score:, -1
Run#:, 151, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 152, Scores:,    black:, 25, white:, 36,   Spread:, -11, Win Score:, -1
Run#:, 153, Scores:,    black:, 33, white:, 31,   Spread:, 2, Win Score:, 1
Run#:, 154, Scores:,    black:, 32, white:, 32,   Spread:, 0, Win Score:, 0
Run#:, 155, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 156, Scores:,    black:, 20, white:, 44,   Spread:, -24, Win Score:, -1
Run#:, 157, Scores:,    black:, 43, white:, 21,   Spread:, 22, Win Score:, 1
Run#:, 158, Scores:,    black:, 21, white:, 43,   Spread:, -22, Win Score:, -1
Run#:, 159, Scores:,    black:, 42, white:, 22,   Spread:, 20, Win Score:, 1
Run#:, 160, Scores:,    black:, 38, white:, 26,   Spread:, 12, Win Score:, 1
Run#:, 161, Scores:,    black:, 30, white:, 34,   Spread:, -4, Win Score:, -1
Run#:, 162, Scores:,    black:, 24, white:, 39,   Spread:, -15, Win Score:, -1
Run#:, 163, Scores:,    black:, 35, white:, 28,   Spread:, 7, Win Score:, 1
Run#:, 164, Scores:,    black:, 23, white:, 41,   Spread:, -18, Win Score:, -1
Run#:, 165, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 166, Scores:,    black:, 25, white:, 39,   Spread:, -14, Win Score:, -1
Run#:, 167, Scores:,    black:, 34, white:, 29,   Spread:, 5, Win Score:, 1
Run#:, 168, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 169, Scores:,    black:, 41, white:, 23,   Spread:, 18, Win Score:, 1
Run#:, 170, Scores:,    black:, 47, white:, 17,   Spread:, 30, Win Score:, 1
Run#:, 171, Scores:,    black:, 43, white:, 21,   Spread:, 22, Win Score:, 1
Run#:, 172, Scores:,    black:, 26, white:, 38,   Spread:, -12, Win Score:, -1
Run#:, 173, Scores:,    black:, 14, white:, 50,   Spread:, -36, Win Score:, -1
Run#:, 174, Scores:,    black:, 18, white:, 45,   Spread:, -27, Win Score:, -1
Run#:, 175, Scores:,    black:, 31, white:, 33,   Spread:, -2, Win Score:, -1
Run#:, 176, Scores:,    black:, 29, white:, 34,   Spread:, -5, Win Score:, -1
Run#:, 177, Scores:,    black:, 24, white:, 40,   Spread:, -16, Win Score:, -1
Run#:, 178, Scores:,    black:, 14, white:, 50,   Spread:, -36, Win Score:, -1
Run#:, 179, Scores:,    black:, 32, white:, 31,   Spread:, 1, Win Score:, 1
